,0.0,0.02,0.04,0.06,0.08,0.1
nodes,300.0,300.0,300.0,300.0,300.0,300.0
edges,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
components,1.0,1.0,1.0,1.0,1.0,1.0
closeness,0.33002207505518766,0.3305694763604361,0.3307522123893805,0.3307522123893805,0.33038674033149174,0.3318534961154273
betweenness,0.006264166893946439,0.006487813991318553,0.006216602940998546,0.006268774131056814,0.006258507156936233,0.005851653701909208
clustering,0.07207792207792207,0.07142857142857142,0.06666666666666667,0.06904761904761905,0.06666666666666667,0.05555555555555555
h(0) deanonymization [1],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(0) deanonymization [20-inf],1.0,1.0,1.0,1.0,1.0,1.0
h(1) deanonymization [1],0.006666666666666667,0.0033333333333333335,0.006666666666666667,0.01,0.006666666666666667,0.006666666666666667
h(1) deanonymization [2-4],0.02666666666666667,0.043333333333333335,0.016666666666666666,0.02666666666666667,0.006666666666666667,0.03333333333333333
h(1) deanonymization [5-10],0.0,0.03333333333333333,0.043333333333333335,0.0,0.03,0.03333333333333333
h(1) deanonymization [11-20],0.1,0.05333333333333334,0.1,0.06,0.03666666666666667,0.0
h(1) deanonymization [20-inf],0.8666666666666667,0.8666666666666667,0.8333333333333334,0.9033333333333333,0.92,0.9266666666666666
h(2) deanonymization [1],0.9333333333333333,0.95,0.98,0.9433333333333334,0.9466666666666667,0.9866666666666667
h(2) deanonymization [2-4],0.06666666666666667,0.05,0.02,0.056666666666666664,0.05333333333333334,0.013333333333333334
h(2) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(2) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(3) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(3) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [1],1.0,1.0,1.0,1.0,1.0,1.0
h(4) deanonymization [2-4],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [5-10],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [11-20],0.0,0.0,0.0,0.0,0.0,0.0
h(4) deanonymization [20-inf],0.0,0.0,0.0,0.0,0.0,0.0
